retained_card29_sales,retained_card29_revenue,residual_transfer_rate,replacement_revenue,affected_card29_baseline_revenue,revenue_change
28,1232.0,0.8,2461.2884772419397,1540.0,921.2884772419397
28,1232.0,0.9,2500.9947230711646,1540.0,960.9947230711646
28,1232.0,1.0,2540.70096890039,1540.0,1000.7009689003899
29,1276.0,0.0,2143.6385106081398,1496.0,647.6385106081398
29,1276.0,0.1,2183.3447564373646,1496.0,687.3447564373646
29,1276.0,0.2,2223.05100226659,1496.0,727.0510022665899
29,1276.0,0.3,2262.7572480958147,1496.0,766.7572480958147
29,1276.0,0.4,2302.4634939250395,1496.0,806.4634939250395
29,1276.0,0.5,2342.169739754265,1496.0,846.1697397542648
29,1276.0,0.6,2381.8759855834896,1496.0,885.8759855834896
29,1276.0,0.7,2421.5822314127145,1496.0,925.5822314127145
29,1276.0,0.8,2461.2884772419397,1496.0,965.2884772419397
29,1276.0,0.9,2500.9947230711646,1496.0,1004.9947230711646
29,1276.0,1.0,2540.70096890039,1496.0,1044.7009689003899
30,1320.0,0.0,2143.6385106081398,1452.0,691.6385106081398
30,1320.0,0.1,2183.3447564373646,1452.0,731.3447564373646
30,1320.0,0.2,2223.05100226659,1452.0,771.0510022665899
30,1320.0,0.3,2262.7572480958147,1452.0,810.7572480958147
30,1320.0,0.4,2302.4634939250395,1452.0,850.4634939250395
30,1320.0,0.5,2342.169739754265,1452.0,890.1697397542648
30,1320.0,0.6,2381.8759855834896,1452.0,929.8759855834896
30,1320.0,0.7,2421.5822314127145,1452.0,969.5822314127145
30,1320.0,0.8,2461.2884772419397,1452.0,1009.2884772419397
30,1320.0,0.9,2500.9947230711646,1452.0,1048.9947230711646
30,1320.0,1.0,2540.70096890039,1452.0,1088.7009689003899
31,1364.0,0.0,2143.6385106081398,1408.0,735.6385106081398
31,1364.0,0.1,2183.3447564373646,1408.0,775.3447564373646
31,1364.0,0.2,2223.05100226659,1408.0,815.0510022665899
31,1364.0,0.3,2262.7572480958147,1408.0,854.7572480958147
31,1364.0,0.4,2302.4634939250395,1408.0,894.4634939250395
31,1364.0,0.5,2342.169739754265,1408.0,934.1697397542648
31,1364.0,0.6,2381.8759855834896,1408.0,973.8759855834896
31,1364.0,0.7,2421.5822314127145,1408.0,1013.5822314127145
31,1364.0,0.8,2461.2884772419397,1408.0,1053.2884772419397
31,1364.0,0.9,2500.9947230711646,1408.0,1092.9947230711646
31,1364.0,1.0,2540.70096890039,1408.0,1132.7009689003899
32,1408.0,0.0,2143.6385106081398,1364.0,779.6385106081398
32,1408.0,0.1,2183.3447564373646,1364.0,819.3447564373646
32,1408.0,0.2,2223.05100226659,1364.0,859.0510022665899
32,1408.0,0.3,2262.7572480958147,1364.0,898.7572480958147
32,1408.0,0.4,2302.4634939250395,1364.0,938.4634939250395
32,1408.0,0.5,2342.169739754265,1364.0,978.1697397542648
32,1408.0,0.6,2381.8759855834896,1364.0,1017.8759855834896
32,1408.0,0.7,2421.5822314127145,1364.0,1057.5822314127145
32,1408.0,0.8,2461.2884772419397,1364.0,1097.2884772419397
32,1408.0,0.9,2500.9947230711646,1364.0,1136.9947230711646
32,1408.0,1.0,2540.70096890039,1364.0,1176.7009689003899
33,1452.0,0.0,2143.6385106081398,1320.0,823.6385106081398
33,1452.0,0.1,2183.3447564373646,1320.0,863.3447564373646
33,1452.0,0.2,2223.05100226659,1320.0,903.0510022665899
33,1452.0,0.3,2262.7572480958147,1320.0,942.7572480958147
33,1452.0,0.4,2302.4634939250395,1320.0,982.4634939250395
33,1452.0,0.5,2342.169739754265,1320.0,1022.1697397542648
33,1452.0,0.6,2381.8759855834896,1320.0,1061.8759855834896
33,1452.0,0.7,2421.5822314127145,1320.0,1101.5822314127145
33,1452.0,0.8,2461.2884772419397,1320.0,1141.2884772419397
33,1452.0,0.9,2500.9947230711646,1320.0,1180.9947230711646
33,1452.0,1.0,2540.70096890039,1320.0,1220.7009689003899
34,1496.0,0.0,2143.6385106081398,1276.0,867.6385106081398
34,1496.0,0.1,2183.3447564373646,1276.0,907.3447564373646
34,1496.0,0.2,2223.05100226659,1276.0,947.0510022665899
34,1496.0,0.3,2262.7572480958147,1276.0,986.7572480958147
34,1496.0,0.4,2302.4634939250395,1276.0,1026.4634939250395
34,1496.0,0.5,2342.169739754265,1276.0,1066.1697397542648
34,1496.0,0.6,2381.8759855834896,1276.0,1105.8759855834896
34,1496.0,0.7,2421.5822314127145,1276.0,1145.5822314127145
34,1496.0,0.8,2461.2884772419397,1276.0,1185.2884772419397
34,1496.0,0.9,2500.9947230711646,1276.0,1224.9947230711646
34,1496.0,1.0,2540.70096890039,1276.0,1264.7009689003899
